elapsed_seconds,mode,component,pid,rss_kib,cpu_percent,cpu_time
0.721,old,go,2621,18096,3.0,0:00.02
0.724,old,rust,2624,14720,0.0,0:00.01
0.727,new,go,2625,18224,0.0,0:00.01
0.729,new,rust,2626,14544,0.0,0:00.01
5.742,old,go,2621,21328,0.0,0:00.03
5.747,old,rust,2624,19776,0.0,0:00.02
5.752,new,go,2625,21440,0.0,0:00.01
5.757,new,rust,2626,19920,0.0,0:00.02
10.762,old,go,2621,21360,0.0,0:00.03
10.765,old,rust,2624,19840,0.0,0:00.02
10.768,new,go,2625,21440,0.0,0:00.01
10.771,new,rust,2626,19952,0.0,0:00.02
15.784,old,go,2621,21392,0.0,0:00.03
15.789,old,rust,2624,19856,0.0,0:00.03
15.793,new,go,2625,21440,0.0,0:00.01
15.799,new,rust,2626,19952,0.0,0:00.02
20.81,old,go,2621,21392,0.0,0:00.03
20.816,old,rust,2624,19856,0.0,0:00.03
20.82,new,go,2625,21440,0.0,0:00.01
20.825,new,rust,2626,19952,0.0,0:00.02
25.836,old,go,2621,21408,0.0,0:00.03
25.842,old,rust,2624,19856,0.0,0:00.03
25.849,new,go,2625,21440,0.0,0:00.01
25.853,new,rust,2626,19952,0.0,0:00.02
30.863,old,go,2621,21408,0.0,0:00.03
30.869,old,rust,2624,19856,0.1,0:00.03
30.874,new,go,2625,21440,0.0,0:00.01
30.879,new,rust,2626,19952,0.0,0:00.02
35.891,old,go,2621,21408,0.0,0:00.03
35.896,old,rust,2624,19856,0.0,0:00.03
35.901,new,go,2625,21440,0.0,0:00.01
35.906,new,rust,2626,19952,0.0,0:00.02
40.919,old,go,2621,21472,0.0,0:00.04
40.924,old,rust,2624,19856,0.1,0:00.03
40.929,new,go,2625,21440,0.0,0:00.01
40.934,new,rust,2626,19952,0.0,0:00.02
45.946,old,go,2621,21696,0.0,0:00.04
45.951,old,rust,2624,19856,0.0,0:00.03
45.956,new,go,2625,21440,0.0,0:00.01
45.961,new,rust,2626,19952,0.0,0:00.02
50.969,old,go,2621,21696,0.0,0:00.04
50.974,old,rust,2624,19856,0.1,0:00.04
50.979,new,go,2625,21440,0.0,0:00.01
50.984,new,rust,2626,19952,0.0,0:00.02
55.997,old,go,2621,21712,0.0,0:00.04
56.002,old,rust,2624,19856,0.0,0:00.04
56.006,new,go,2625,21440,0.0,0:00.01
56.012,new,rust,2626,19952,0.0,0:00.02
